source_ip,destination_ip,bytes,packets,unique_dest_ips,total_bytes,packet_rate,timestamp,is_anomaly
23.13.191.95,51.93.83.100,5014,55,1,5014,6.44,2024-09-27 22:56:00,0
150.42.183.232,91.169.55.169,4409,71,1,4409,12.08,2024-10-10 02:08:52,0
118.84.55.16,129.110.112.222,3765,56,4,15060,9.47,2024-09-25 14:28:51,0
126.99.175.173,97.132.187.102,4996,39,5,24980,11.02,2024-09-25 03:20:59,0
208.153.34.48,28.162.210.134,6438,57,1,6438,8.7,2024-09-22 20:54:42,0
66.60.53.131,56.180.158.1,4996,67,1,4996,9.4,2024-09-18 09:09:12,0
110.150.157.196,137.63.230.104,5179,58,3,15537,9.2,2024-09-23 04:18:09,0
221.157.62.147,81.102.154.210,4473,54,1,4473,7.82,2024-09-27 19:10:44,0
68.126.82.18,164.156.253.173,6585,41,3,19755,9.56,2024-10-02 06:02:06,0
66.64.63.152,84.145.43.30,6521,46,3,19563,10.1,2024-09-30 00:07:32,0
66.131.91.188,221.189.132.84,4812,44,5,24060,12.22,2024-09-18 10:22:14,0
128.27.255.253,76.7.37.63,5766,28,5,28830,10.7,2024-09-23 03:41:43,0
165.77.4.51,166.121.91.163,5284,59,1,5284,9.06,2024-09-29 22:00:32,0
69.121.208.173,64.253.207.80,6311,61,5,31555,9.8,2024-10-06 21:09:41,0
141.254.105.181,27.218.122.116,5784,38,4,23136,7.96,2024-09-21 04:34:03,0
41.185.8.159,35.32.169.216,4515,41,2,9030,10.07,2024-10-17 12:27:31,0
36.115.89.93,124.69.144.40,5575,45,2,11150,11.32,2024-09-20 14:35:49,0
214.135.201.155,138.220.244.223,4676,32,1,4676,10.58,2024-10-12 08:26:37,0
27.130.44.32,176.128.204.79,22912,208,19,435328,94.18,2024-09-20 19:42:51,1
55.175.16.90,17.41.109.212,4650,47,1,4650,10.24,2024-10-06 06:49:54,0
222.151.161.42,47.95.9.181,4971,35,3,14913,12.85,2024-09-25 10:34:54,0
110.98.70.131,175.129.51.136,4994,45,4,19976,9.36,2024-10-07 18:34:20,0
152.182.233.79,169.6.242.217,5347,41,5,26735,6.64,2024-10-12 06:09:06,0
203.128.193.221,113.61.5.130,5011,51,2,10022,11.16,2024-10-06 13:37:47,0
222.66.131.181,219.172.155.231,4982,53,3,14946,5.28,2024-10-01 12:42:16,0
65.56.33.255,130.219.126.19,7369,38,3,22107,10.12,2024-10-14 06:37:52,0
203.219.34.163,153.72.67.87,3600,54,3,10800,9.22,2024-10-10 14:01:27,0
112.46.1.158,161.33.176.62,4580,36,5,22900,8.18,2024-10-16 07:47:43,0
12.115.90.2,3.85.33.32,5663,60,3,16989,8.24,2024-09-20 22:34:05,0
15.205.204.74,218.56.210.166,3378,55,5,16890,10.79,2024-10-05 18:48:35,0
85.125.85.127,213.236.140.195,6618,31,2,13236,11.29,2024-10-15 18:10:50,0
67.167.143.236,207.243.201.159,23184,231,30,695520,98.35,2024-09-18 08:36:57,1
103.28.146.139,167.238.89.243,3891,32,3,11673,12.16,2024-10-03 02:43:34,0
30.37.128.1,124.30.234.222,5011,57,5,25055,14.61,2024-09-30 08:24:15,0
203.101.150.202,145.221.253.30,4559,41,1,4559,12.2,2024-10-14 06:10:42,0
167.98.86.79,54.70.29.33,21312,177,38,809856,79.89,2024-10-10 17:15:44,1
218.127.5.150,201.83.148.14,4644,41,3,13932,8.85,2024-10-12 00:48:23,0
165.157.136.120,215.181.36.140,5115,62,2,10230,9.92,2024-10-01 21:57:08,0
219.138.133.115,13.153.47.234,7192,48,2,14384,5.02,2024-09-26 10:54:59,0
155.251.57.236,31.240.80.115,6586,38,4,26344,11.58,2024-09-24 05:34:53,0
73.78.122.18,76.63.31.76,17903,181,45,805635,93.07,2024-10-02 08:59:45,1
120.143.123.6,39.218.163.80,4726,35,2,9452,9.91,2024-10-17 10:01:24,0
180.34.114.239,185.53.201.7,22873,206,50,1143650,96.69,2024-10-06 16:46:55,1
107.249.107.132,69.20.106.72,5253,59,5,26265,11.32,2024-10-09 08:08:39,0
201.75.206.178,48.141.149.92,5482,53,1,5482,8.96,2024-09-18 22:47:04,0
18.125.79.157,169.15.93.248,4710,80,3,14130,5.44,2024-09-23 17:26:33,0
112.3.88.105,53.207.52.250,5148,44,1,5148,13.22,2024-10-07 00:21:34,0
42.24.173.231,93.123.198.118,4133,43,3,12399,11.55,2024-10-09 23:02:24,0
118.232.245.117,135.247.252.157,5473,59,4,21892,9.45,2024-09-20 06:57:03,0
161.92.131.114,9.69.144.151,4802,72,2,9604,7.7,2024-10-04 09:06:11,0
63.67.131.64,103.24.123.77,4588,29,1,4588,11.21,2024-10-05 11:47:04,0
157.244.149.74,95.252.36.55,3417,42,4,13668,9.67,2024-10-06 09:22:01,0
122.82.18.141,220.39.21.145,20158,126,36,725688,73.13,2024-10-13 18:03:36,1
28.63.161.59,67.179.83.33,4280,59,2,8560,6.95,2024-10-01 07:01:41,0
188.213.232.91,7.58.158.50,6916,37,1,6916,9.42,2024-10-05 00:29:55,0
6.229.29.229,125.129.72.106,5760,74,4,23040,8.95,2024-09-20 22:56:39,0
53.118.131.241,56.84.113.217,5683,47,2,11366,13.65,2024-09-20 01:12:22,0
192.159.116.200,78.41.129.85,3522,27,1,3522,10.15,2024-10-06 05:47:02,0
49.111.177.239,5.94.86.201,4224,41,4,16896,9.98,2024-09-27 12:49:11,0
131.247.10.173,42.151.245.32,5375,36,5,26875,10.04,2024-10-06 01:45:02,0
13.35.62.131,83.189.151.226,4844,41,3,14532,8.83,2024-09-23 18:37:11,0
212.245.220.185,15.169.105.13,3450,44,3,10350,10.41,2024-09-24 22:34:01,0
216.143.109.104,155.198.56.105,4927,60,5,24635,6.77,2024-09-19 12:27:52,0
90.133.174.85,38.116.60.159,4659,65,1,4659,10.08,2024-10-05 22:03:44,0
130.90.120.134,184.92.169.0,5709,60,3,17127,11.2,2024-09-20 13:33:16,0
180.131.182.254,214.54.153.69,4246,45,2,8492,8.78,2024-09-29 21:18:43,0
97.194.134.157,61.118.46.150,4695,27,5,23475,14.3,2024-10-07 07:31:02,0
33.30.222.85,185.199.150.48,21336,305,41,874776,76.62,2024-09-18 00:32:10,1
144.40.205.136,174.225.206.129,4591,42,5,22955,10.34,2024-09-18 00:30:04,0
192.55.94.49,82.236.70.76,6564,45,2,13128,7.0,2024-09-22 02:47:12,0
44.74.219.50,162.31.199.187,2654,48,2,5308,8.73,2024-09-26 06:35:48,0
61.209.68.50,164.207.39.76,2873,31,4,11492,7.45,2024-09-26 23:04:34,0
198.102.224.146,123.156.144.182,4175,42,2,8350,11.15,2024-09-28 19:17:18,0
85.211.193.181,70.96.160.80,3578,42,2,7156,11.42,2024-10-06 16:57:28,0
214.6.182.17,196.85.195.10,5027,54,1,5027,8.29,2024-10-14 19:11:07,0
190.23.223.80,128.148.238.91,11521,214,37,426277,121.29,2024-09-30 18:26:54,1
118.207.77.87,8.254.139.169,6531,55,5,32655,13.08,2024-10-07 14:33:36,0
171.103.224.75,105.96.209.205,27503,254,22,605066,96.1,2024-09-20 16:52:53,1
220.181.135.227,73.245.249.25,6207,55,4,24828,9.4,2024-09-25 13:54:50,0
68.195.91.118,64.249.184.175,4873,47,3,14619,6.31,2024-09-24 23:48:22,0
87.62.109.25,122.32.142.132,5131,63,5,25655,9.28,2024-10-05 15:45:54,0
79.83.28.73,129.94.222.180,4501,41,4,18004,8.66,2024-10-12 13:22:34,0
17.5.231.166,96.242.75.165,4824,66,2,9648,10.26,2024-10-05 20:41:55,0
34.11.250.255,117.86.235.157,3977,48,3,11931,7.34,2024-09-25 10:24:28,0
128.249.232.123,45.142.91.156,4682,49,1,4682,9.36,2024-09-21 11:09:31,0
22.229.185.180,6.13.144.49,4382,60,1,4382,11.11,2024-10-14 17:50:40,0
147.76.36.235,222.27.178.196,6241,46,1,6241,10.58,2024-10-08 07:42:05,0
152.208.235.136,87.156.74.44,5113,56,3,15339,8.19,2024-10-11 20:03:40,0
220.130.194.184,15.66.174.31,4432,72,5,22160,7.51,2024-10-06 01:33:58,0
33.39.27.119,101.42.221.21,4979,54,5,24895,10.5,2024-09-22 00:32:14,0
171.216.243.33,3.90.202.3,21448,224,10,214480,93.01,2024-10-10 21:47:39,1
184.111.222.9,179.157.214.158,5096,30,3,15288,9.24,2024-10-09 21:02:00,0
150.76.192.115,106.73.246.162,2021,37,2,4042,11.35,2024-09-24 13:54:07,0
161.123.235.237,114.113.6.133,6618,51,3,19854,8.19,2024-09-24 07:43:32,0
180.149.18.224,7.142.54.11,3940,42,3,11820,11.36,2024-10-02 05:17:45,0
108.176.199.29,209.221.141.66,4275,74,1,4275,10.83,2024-09-26 08:21:57,0
26.156.206.175,16.110.40.142,4406,58,5,22030,13.85,2024-10-13 19:03:29,0
211.167.66.153,160.175.222.216,4111,62,5,20555,10.78,2024-10-02 01:12:38,0
155.255.217.65,110.115.6.160,4398,47,2,8796,9.33,2024-10-14 11:01:43,0
206.216.50.170,98.43.42.173,3718,47,5,18590,12.35,2024-09-18 07:30:33,0
78.146.54.243,40.254.67.105,5416,42,3,16248,8.21,2024-10-15 06:08:58,0
192.124.180.178,220.227.168.128,5233,38,1,5233,8.05,2024-10-05 04:28:44,0
108.233.33.11,213.87.187.224,6151,68,1,6151,8.0,2024-09-19 20:47:17,0
77.130.212.161,87.156.206.100,4713,33,5,23565,10.83,2024-09-23 19:07:21,0
138.190.166.139,48.136.80.244,5650,50,2,11300,7.33,2024-10-16 13:48:14,0
67.113.108.97,129.8.13.177,3615,52,4,14460,13.47,2024-10-15 02:55:38,0
41.186.151.182,52.242.1.17,20918,305,28,585704,71.37,2024-09-29 23:04:50,1
163.34.250.18,14.64.248.196,3297,58,2,6594,9.02,2024-10-01 16:38:21,0
211.163.112.121,178.67.45.110,4929,62,3,14787,13.54,2024-09-19 20:32:51,0
147.102.140.183,177.143.178.91,7805,50,3,23415,10.86,2024-10-07 22:35:58,0
123.65.12.19,95.132.215.126,6005,53,4,24020,9.33,2024-09-22 10:31:12,0
11.131.58.191,29.47.25.242,23995,234,26,623870,110.03,2024-09-28 16:13:54,1
182.176.239.200,168.231.13.213,4931,50,2,9862,9.48,2024-10-03 23:42:48,0
117.114.93.188,141.4.128.73,5265,49,3,15795,8.9,2024-10-06 21:56:26,0
110.229.211.64,158.94.49.140,5575,56,3,16725,7.07,2024-09-18 11:18:27,0
105.58.219.55,26.45.148.63,4813,49,2,9626,9.89,2024-10-15 00:11:06,0
42.93.209.123,95.69.188.199,5442,39,2,10884,12.55,2024-10-14 23:35:39,0
91.48.34.142,14.81.229.124,2915,55,1,2915,8.42,2024-09-28 15:55:17,0
80.101.130.52,204.184.64.62,4775,69,3,14325,10.57,2024-09-20 03:34:29,0
154.228.189.63,43.175.226.29,6193,58,4,24772,12.1,2024-10-12 10:48:43,0
67.216.69.234,112.44.108.145,5215,72,2,10430,8.44,2024-09-20 14:59:17,0
113.70.216.55,102.55.233.71,5136,27,4,20544,9.79,2024-09-23 02:43:05,0
56.87.74.15,210.223.111.126,5715,57,2,11430,10.04,2024-10-12 06:46:21,0
164.148.217.223,105.174.58.45,3732,41,2,7464,12.21,2024-09-22 12:32:22,0
61.55.200.230,43.113.136.252,5805,81,2,11610,9.52,2024-09-25 03:39:18,0
157.242.13.123,37.255.247.4,5639,45,5,28195,9.22,2024-10-10 07:21:37,0
103.90.177.165,88.72.85.112,3987,44,4,15948,8.04,2024-09-26 16:14:54,0
200.75.116.246,94.221.56.132,21592,208,30,647760,136.8,2024-10-02 11:19:25,1
35.146.222.48,37.41.193.219,21630,160,37,800310,79.52,2024-09-27 12:28:13,1
185.112.95.229,196.157.48.123,5228,68,4,20912,8.27,2024-09-24 16:46:27,0
74.173.112.74,156.125.199.108,6429,52,1,6429,10.14,2024-09-22 21:01:24,0
55.247.197.8,42.240.87.170,7436,42,5,37180,8.69,2024-10-16 10:41:20,0
204.206.157.117,173.240.252.50,3678,53,4,14712,12.29,2024-09-23 13:13:15,0
165.115.86.63,33.196.125.254,5201,44,2,10402,11.35,2024-09-27 02:27:30,0
80.98.38.44,130.94.32.209,5742,56,2,11484,13.35,2024-09-28 17:09:55,0
53.110.246.174,158.224.218.143,5732,62,5,28660,14.19,2024-09-22 22:54:07,0
184.8.116.218,167.175.133.173,5423,40,5,27115,13.93,2024-10-04 09:05:07,0
22.8.47.99,179.131.253.44,6008,62,2,12016,11.27,2024-10-09 21:01:09,0
68.209.230.215,143.55.212.43,5945,44,3,17835,11.16,2024-09-26 13:42:50,0
106.221.159.129,115.189.73.40,4423,63,1,4423,9.7,2024-10-08 11:14:34,0
132.232.51.5,91.51.100.165,6423,40,5,32115,11.77,2024-10-07 22:53:02,0
173.140.71.179,168.52.231.18,4336,50,3,13008,8.65,2024-09-21 23:39:55,0
76.35.22.8,218.133.43.142,4636,49,3,13908,10.4,2024-10-15 23:16:26,0
13.236.151.249,42.71.76.26,5126,42,1,5126,10.2,2024-09-22 10:36:42,0
40.252.88.151,73.83.218.37,6444,47,3,19332,12.06,2024-10-08 05:00:37,0
57.188.250.61,49.160.12.144,2620,49,4,10480,8.92,2024-09-27 15:14:37,0
56.243.42.216,213.249.161.231,2930,68,3,8790,8.56,2024-10-17 10:26:46,0
156.201.61.141,84.197.162.203,6073,53,3,18219,9.07,2024-10-09 12:24:19,0
42.22.77.111,103.124.103.93,5721,50,4,22884,12.47,2024-09-24 22:34:13,0
195.74.176.165,51.202.184.40,3909,44,2,7818,12.76,2024-09-20 23:16:39,0
64.227.83.176,26.171.239.46,6527,48,5,32635,11.42,2024-10-02 18:02:02,0
218.155.46.2,33.152.70.185,4701,53,3,14103,10.81,2024-10-01 03:36:45,0
193.154.16.182,214.131.168.157,4976,42,3,14928,8.2,2024-09-18 14:04:42,0
175.237.36.105,210.164.200.104,23720,221,47,1114840,91.72,2024-09-30 18:24:55,1
222.90.76.99,79.20.86.167,6544,38,1,6544,7.96,2024-10-02 17:05:28,0
133.69.187.227,34.90.1.252,4955,30,5,24775,8.72,2024-09-22 04:01:44,0
78.190.186.199,135.33.189.12,3449,34,5,17245,11.83,2024-10-07 15:54:20,0
42.131.0.154,114.241.128.63,4901,66,5,24505,7.45,2024-10-08 01:22:10,0
54.170.2.67,56.216.187.16,4660,55,4,18640,8.15,2024-09-28 15:39:52,0
28.113.19.214,168.50.218.86,5977,45,5,29885,9.95,2024-10-10 22:54:31,0
173.208.23.188,200.23.0.153,6682,63,4,26728,11.01,2024-10-01 00:25:23,0
141.225.79.116,186.130.81.197,4247,61,2,8494,9.05,2024-09-23 05:17:57,0
106.112.21.230,109.184.96.236,3490,53,2,6980,8.74,2024-10-01 20:33:56,0
177.18.13.167,53.245.16.42,5106,51,4,20424,10.43,2024-09-22 13:03:23,0
202.191.105.145,126.79.17.168,5175,47,2,10350,9.48,2024-10-06 06:52:37,0
29.73.73.179,93.200.208.254,4048,52,2,8096,11.65,2024-10-14 00:27:36,0
220.20.59.144,15.58.243.235,5797,58,1,5797,7.4,2024-09-24 11:26:36,0
151.118.214.42,206.55.13.226,3243,48,5,16215,10.88,2024-09-28 12:44:15,0
148.92.177.217,113.95.120.134,5062,51,5,25310,11.27,2024-10-09 01:08:22,0
99.108.187.147,118.151.99.50,5175,38,5,25875,10.63,2024-09-21 04:38:43,0
114.28.30.232,147.208.135.255,4175,43,2,8350,9.51,2024-10-03 11:57:22,0
52.5.50.252,89.150.69.147,5278,53,4,21112,10.3,2024-09-21 08:38:51,0
50.247.118.80,193.157.112.152,3753,66,1,3753,10.49,2024-10-08 06:58:47,0
152.45.78.11,168.128.183.105,5644,72,2,11288,8.37,2024-10-13 13:41:35,0
64.90.215.201,54.151.181.100,5088,54,3,15264,8.07,2024-10-01 10:36:38,0
205.70.189.16,191.202.149.54,4612,50,2,9224,8.73,2024-10-01 23:45:59,0
152.151.245.181,86.17.160.104,5009,56,1,5009,11.51,2024-09-19 22:14:05,0
99.41.47.92,199.198.99.39,5372,37,2,10744,6.32,2024-10-14 20:51:51,0
117.213.97.52,17.75.3.211,21324,215,20,426480,116.61,2024-10-04 18:45:17,1
80.160.173.204,63.252.125.48,5189,48,4,20756,12.53,2024-09-19 17:33:22,0
85.212.111.242,119.238.240.255,3530,54,1,3530,12.42,2024-10-12 12:11:59,0
88.151.112.69,99.63.9.124,2996,44,2,5992,7.94,2024-09-18 20:22:49,0
38.142.139.13,120.86.69.128,3684,29,3,11052,10.04,2024-10-01 22:17:02,0
149.30.9.229,164.207.140.48,4809,37,2,9618,10.06,2024-09-22 10:48:01,0
30.202.152.194,2.232.220.127,4298,59,4,17192,9.12,2024-09-24 05:28:06,0
141.20.221.202,148.95.125.123,3106,61,3,9318,7.82,2024-10-10 15:50:43,0
207.7.69.235,187.235.145.158,4545,56,2,9090,10.07,2024-10-11 23:49:48,0
102.172.194.53,23.68.252.140,5638,40,2,11276,9.74,2024-10-02 20:38:22,0
207.11.159.167,131.164.209.15,5276,50,1,5276,12.23,2024-09-28 00:38:35,0
116.75.31.190,119.200.25.98,4566,53,5,22830,9.51,2024-09-26 01:35:02,0
221.54.107.191,25.23.104.71,5253,48,3,15759,11.54,2024-10-05 18:07:22,0
107.217.244.126,55.162.91.114,3742,48,4,14968,12.96,2024-09-24 05:37:58,0
36.199.145.6,156.155.135.109,4379,38,5,21895,12.97,2024-10-15 22:46:09,0
168.175.129.247,104.208.39.36,6524,40,3,19572,10.52,2024-10-17 14:19:12,0
73.129.226.59,164.16.39.205,3869,50,3,11607,7.73,2024-09-22 21:35:11,0
43.18.244.144,121.38.236.159,6309,49,5,31545,9.38,2024-10-02 01:41:01,0
73.202.97.179,132.152.27.63,5336,48,2,10672,11.16,2024-10-11 03:59:08,0
132.118.39.35,15.212.48.244,2797,51,3,8391,11.53,2024-10-04 00:03:54,0
100.213.219.6,165.147.217.208,4656,65,4,18624,10.39,2024-09-23 11:13:50,0
94.187.201.96,135.235.127.152,6798,44,2,13596,10.2,2024-09-23 04:03:26,0
103.0.93.94,213.18.62.50,6432,49,1,6432,10.61,2024-10-08 23:30:12,0
38.151.180.134,143.243.108.197,7545,44,1,7545,10.13,2024-10-11 04:41:29,0
192.164.136.6,149.44.20.52,3889,44,5,19445,7.95,2024-09-19 08:48:16,0
209.150.200.63,133.84.167.68,4338,35,3,13014,6.73,2024-09-18 02:13:27,0
58.83.189.126,179.100.166.172,4025,50,3,12075,12.29,2024-10-17 01:49:55,0
182.160.90.106,120.201.244.11,5089,50,3,15267,8.45,2024-09-26 06:19:28,0
203.161.68.65,14.43.146.154,4408,43,2,8816,11.56,2024-10-13 09:38:18,0
49.135.39.190,165.143.92.61,5513,35,4,22052,11.54,2024-10-15 15:57:26,0
130.131.0.44,36.178.17.242,5404,53,5,27020,7.61,2024-10-16 18:03:53,0
223.100.66.49,119.164.174.31,2737,60,5,13685,14.62,2024-10-14 01:32:33,0
115.63.12.14,140.122.48.226,3807,69,2,7614,9.82,2024-10-08 18:50:59,0
120.218.90.204,16.253.76.78,7734,61,2,15468,7.06,2024-10-14 04:01:08,0
131.234.144.140,46.104.7.84,3665,61,2,7330,9.15,2024-09-19 00:09:48,0
104.146.174.139,41.92.222.189,4425,45,4,17700,9.41,2024-10-09 05:44:20,0
103.169.58.187,25.134.30.7,3619,60,1,3619,10.82,2024-09-29 15:04:31,0
118.117.133.201,95.123.111.199,2755,51,1,2755,5.6,2024-10-17 20:02:26,0
212.196.255.67,100.152.101.32,5168,57,1,5168,10.36,2024-09-21 14:12:49,0
104.86.31.100,146.29.39.242,3293,48,4,13172,8.56,2024-10-09 03:04:19,0
20.36.208.148,210.6.197.203,5780,43,2,11560,6.98,2024-09-30 05:09:13,0
216.22.32.127,106.188.155.45,4199,60,3,12597,6.36,2024-10-09 18:59:47,0
135.245.124.222,133.64.52.101,3688,63,4,14752,12.15,2024-09-21 12:43:03,0
150.250.126.107,80.177.38.174,2126,63,5,10630,6.81,2024-09-18 07:30:18,0
112.163.101.225,152.215.93.202,6219,58,4,24876,12.94,2024-10-10 16:15:52,0
9.39.73.231,187.108.236.140,5543,44,5,27715,14.75,2024-10-09 20:14:13,0
189.98.142.50,147.176.80.81,4563,62,2,9126,12.41,2024-10-12 17:38:13,0
133.21.245.60,16.235.53.76,4360,58,3,13080,10.77,2024-10-14 05:37:07,0
200.217.27.32,115.165.41.246,4572,53,2,9144,9.7,2024-10-11 05:58:04,0
206.145.74.25,101.94.30.33,30614,172,14,428596,97.86,2024-10-02 04:07:27,1
68.199.104.209,199.171.153.233,4528,32,4,18112,10.87,2024-09-28 20:16:36,0
198.76.33.78,212.108.23.182,5600,46,3,16800,9.17,2024-09-26 16:47:00,0
75.222.215.109,111.211.40.142,3404,41,3,10212,11.35,2024-10-02 05:19:17,0
157.55.10.36,111.139.179.98,4777,52,3,14331,8.96,2024-09-28 18:39:42,0
123.56.55.115,102.101.96.243,5479,37,4,21916,12.86,2024-09-22 06:55:16,0
158.69.204.8,17.129.65.55,5509,45,4,22036,9.99,2024-10-14 04:15:03,0
108.32.131.33,168.71.141.82,3964,48,2,7928,12.3,2024-10-04 15:55:29,0
10.232.199.138,168.15.158.25,5349,53,5,26745,9.09,2024-09-18 18:18:19,0
156.253.119.187,131.41.36.104,5938,47,4,23752,8.2,2024-10-14 13:56:03,0
